1,0.9,-0.02,8,W
2,0.91,-0.02,8,W
3,0.92,-0.02,8,W
4,0.93,-0.02,8,W
5,0.94,-0.02,8,W
6,0.95,-0.02,8,W
7,0.96,-0.02,8,W
8,0.97,-0.02,8,W
9,0.98,-0.02,8,W
10,0.99,-0.02,8,W
11,1.0,-0.02,8,W
12,1.01,-0.02,8,W
13,1.02,-0.02,8,W
14,1.03,-0.02,8,W
15,1.04,-0.02,8,W
16,1.05,-0.02,8,W
17,1.06,-0.02,8,W
18,1.07,-0.02,8,W
19,1.08,-0.02,8,W
20,1.09,-0.02,8,W
21,1.1,-0.02,8,W
22,1.11,-0.02,8,W
23,1.12,-0.02,8,W
24,1.13,-0.02,8,W
25,1.14,-0.02,8,W
26,1.15,-0.02,8,W
27,1.16,-0.02,8,W
28,1.17,-0.02,8,W
29,1.18,-0.02,8,W
30,1.19,-0.02,8,W
31,1.2,-0.02,8,W
32,1.21,-0.02,8,W
33,1.22,-0.02,8,W
34,1.23,-0.02,8,W
35,1.24,-0.02,8,W
36,1.25,-0.02,8,W
37,1.26,-0.02,8,W
38,1.27,-0.02,8,W
39,1.28,-0.02,8,W
